Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Date
1,5.1,3.5,1.4,0.2,Iris-setosa,9/6/23
2,4.9,3,1.4,0.2,Iris-setosa,9/7/23
3,4.7,3.2,1.3,0.2,Iris-setosa,9/8/23
4,4.6,3.1,1.5,0.2,Iris-setosa,9/9/23
5,5,3.6,1.4,0.2,Iris-setosa,9/10/23
6,5.4,3.9,1.7,0.4,Iris-setosa,9/11/23
7,4.6,3.4,1.4,0.3,Iris-setosa,9/12/23
8,5,3.4,1.5,0.2,Iris-setosa,9/13/23
9,4.4,2.9,1.4,0.2,Iris-setosa,9/14/23
10,4.9,3.1,1.5,0.1,Iris-setosa,9/15/23
11,5.4,3.7,1.5,0.2,Iris-setosa,9/16/23
12,4.8,3.4,1.6,0.2,Iris-setosa,9/17/23
13,4.8,3,1.4,0.1,Iris-setosa,9/18/23
14,4.3,3,1.1,0.1,Iris-setosa,9/19/23
15,5.8,4,1.2,0.2,Iris-setosa,9/20/23
16,5.7,4.4,1.5,0.4,Iris-setosa,9/21/23
17,5.4,3.9,1.3,0.4,Iris-setosa,9/22/23
18,5.1,3.5,1.4,0.3,Iris-setosa,9/23/23
19,5.7,3.8,1.7,0.3,Iris-setosa,9/24/23
20,5.1,3.8,1.5,0.3,Iris-setosa,9/25/23
21,5.4,3.4,1.7,0.2,Iris-setosa,9/26/23
22,5.1,3.7,1.5,0.4,Iris-setosa,9/27/23
23,4.6,3.6,1,0.2,Iris-setosa,9/28/23
24,5.1,3.3,1.7,0.5,Iris-setosa,9/29/23
25,4.8,3.4,1.9,0.2,Iris-setosa,9/30/23
26,5,3,1.6,0.2,Iris-setosa,10/1/23
27,5,3.4,1.6,0.4,Iris-setosa,10/2/23
28,5.2,3.5,1.5,0.2,Iris-setosa,10/3/23
29,5.2,3.4,1.4,0.2,Iris-setosa,10/4/23
30,4.7,3.2,1.6,0.2,Iris-setosa,10/5/23
31,4.8,3.1,1.6,0.2,Iris-setosa,10/6/23
32,5.4,3.4,1.5,0.4,Iris-setosa,10/7/23
33,5.2,4.1,1.5,0.1,Iris-setosa,10/8/23
34,5.5,4.2,1.4,0.2,Iris-setosa,10/9/23
35,4.9,3.1,1.5,0.1,Iris-setosa,10/10/23
36,5,3.2,1.2,0.2,Iris-setosa,10/11/23
37,5.5,3.5,1.3,0.2,Iris-setosa,10/12/23
38,4.9,3.1,1.5,0.1,Iris-setosa,10/13/23
39,4.4,3,1.3,0.2,Iris-setosa,10/14/23
40,5.1,3.4,1.5,0.2,Iris-setosa,10/15/23
41,5,3.5,1.3,0.3,Iris-setosa,10/16/23
42,4.5,2.3,1.3,0.3,Iris-setosa,10/17/23
43,4.4,3.2,1.3,0.2,Iris-setosa,10/18/23
44,5,3.5,1.6,0.6,Iris-setosa,10/19/23
